learning_rate,discount_factor,epsilon_decay,cumulative_rewards_per_step,avg_steps_count,avg_thrust,avg_distance
0.05,0.85,0.995,-5.297,1289.0,0.56,0.418
0.05,0.85,0.99,-5.27,1127.333,0.551,0.419
0.05,0.95,0.995,-5.562,1263.667,0.571,0.443
0.05,0.95,0.99,-5.415,1168.333,0.613,0.419
0.1,0.85,0.995,-5.921,822.667,0.568,0.474
0.1,0.85,0.99,-5.771,951.333,0.603,0.451
0.1,0.95,0.995,-5.203,1107.0,0.569,0.41
0.1,0.95,0.99,-5.755,903.333,0.603,0.45
