learning_rate,discount_factor,epsilon_decay,best_performance
0.05,0.85,0.995,-5.09559895170536
0.05,0.85,0.99,-4.930750454558066
0.05,0.95,0.995,-4.834664727919848
0.05,0.95,0.99,-5.046063164669536
0.01,0.85,0.995,-5.012443237297934
0.01,0.85,0.99,-4.754275350134591
0.01,0.95,0.995,-5.201317387352638
0.01,0.95,0.99,-5.0628284474637
