learning_rate,discount_factor,epsilon_decay,cumulative_rewards_per_step,avg_steps_count,avg_thrust,avg_distance
0.05,0.85,0.995,-5.549,1082.333,0.585,0.445
0.05,0.85,0.99,-5.291,1127.333,0.554,0.42
0.05,0.95,0.995,-5.782,1089.0,0.58,0.468
0.05,0.95,0.99,-5.494,1114.333,0.555,0.442
0.1,0.85,0.995,-5.563,1112.667,0.556,0.448
0.1,0.85,0.99,-5.56,1119.333,0.623,0.434
0.1,0.95,0.995,-5.654,1089.0,0.58,0.455
0.1,0.95,0.99,-5.565,1101.0,0.574,0.446
