learning_rate,discount_factor,epsilon_decay,cumulative_rewards_per_step,avg_steps_count,avg_thrust,avg_distance
0.05,0.85,0.995,-5.757,1100.0,0.56,0.468
0.05,0.85,0.99,-5.525,1081.667,0.583,0.443
0.05,0.95,0.995,-5.236,1114.0,0.57,0.413
0.05,0.95,0.99,-5.672,1234.0,0.57,0.455
0.1,0.85,0.995,-5.656,1120.0,0.553,0.458
0.1,0.85,0.99,-5.695,1091.0,0.575,0.46
0.1,0.95,0.995,-5.869,846.667,0.568,0.468
0.1,0.95,0.99,-5.21,1114.667,0.569,0.41
