learning_rate,discount_factor,epsilon_decay,cumulative_rewards_per_step,avg_steps_count,avg_thrust,avg_distance
0.05,0.85,0.995,-5.081,1180.0,0.66,0.404
0.05,0.85,0.99,-5.125,1175.0,0.661,0.409
0.05,0.95,0.995,-5.061,1172.667,0.666,0.403
0.05,0.95,0.99,-4.997,1120.667,0.605,0.4
0.1,0.85,0.995,-5.019,1185.667,0.661,0.398
0.1,0.85,0.99,-5.057,1178.667,0.665,0.402
0.1,0.95,0.995,-5.034,1172.333,0.641,0.4
0.1,0.95,0.99,-5.091,1149.333,0.604,0.408
