learning_rate,discount_factor,epsilon_decay,best_performance
0.05,0.85,0.995,-5.019482785990946
0.05,0.85,0.99,-4.948192404801226
0.05,0.95,0.995,-4.958440679293625
0.05,0.95,0.99,-5.038502207655262
0.01,0.85,0.995,-4.944907896284818
0.01,0.85,0.99,-5.058601708518534
0.01,0.95,0.995,-4.9414584081146
0.01,0.95,0.99,-5.016372937621394
