learning_rate,discount_factor,epsilon_decay,cumulative_rewards_per_step,avg_steps_count,avg_thrust,avg_distance
0.05,0.85,0.995,-5.371,1123.667,0.554,0.429
0.05,0.85,0.99,-5.676,1096.333,0.566,0.459
0.05,0.95,0.995,-5.351,1109.0,0.572,0.424
0.05,0.95,0.99,-5.386,1128.0,0.551,0.43
0.1,0.85,0.995,-5.671,1080.667,0.579,0.458
0.1,0.85,0.99,-5.453,1250.0,0.564,0.434
0.1,0.95,0.995,-5.668,1289.667,0.56,0.455
0.1,0.95,0.99,-5.285,1111.667,0.573,0.417
