learning_rate,discount_factor,epsilon_decay,cumulative_rewards_per_step,avg_steps_count,avg_thrust,avg_distance
0.05,0.85,0.995,-5.261,1095.0,0.65,0.428
0.05,0.85,0.99,-5.156,1260.667,0.64,0.414
0.05,0.95,0.995,-5.563,1127.333,0.655,0.455
0.05,0.95,0.99,-5.114,1188.0,0.644,0.408
0.1,0.85,0.995,-5.488,1225.0,0.639,0.444
0.1,0.85,0.99,-5.212,1113.333,0.604,0.422
0.1,0.95,0.995,-5.272,1092.667,0.67,0.429
0.1,0.95,0.99,-5.239,1088.333,0.678,0.426
