learning_rate,discount_factor,epsilon_decay,best_performance
0.05,0.85,0.95,-4.9847506914118584
0.05,0.85,0.9,-4.923319872897447
0.05,0.95,0.95,-5.163890668176243
0.05,0.95,0.9,-5.16358963890758
0.01,0.85,0.95,-4.9624196593679075
0.01,0.85,0.9,-5.027190947924126
0.01,0.95,0.95,-4.8798284910244325
0.01,0.95,0.9,-5.110064555992131
